the cougars	bn:01345595n
hoffman	bn:00029207n,bn:00246789n,bn:01529776n,bn:14845482n,bn:02302323n,bn:01305264n,bn:00044355n
diaz	bn:00188937n,bn:00617611n,bn:00008744n
costner	bn:03876999n
bill cosby	bn:00822973n
russell crowe	bn:01920307n
glenn close	bn:03199122n
hanks	bn:00042873n
mel gibson	bn:00040430n,bn:03594751n
redford	bn:14549304n,bn:00017873n,bn:00567674n,bn:15222721n
close	bn:02186299n,bn:00341540n,bn:00019918n,bn:00019607n,bn:02558220n,bn:16341065n,bn:00019919n,bn:00565410n,bn:03228429n,bn:00019920n,bn:00019964n,bn:16362636n
reese witherspoon	bn:03830658n
whoopi goldberg	bn:03350217n
tom cruise	bn:00136894n,bn:01884527n,bn:02498785n
diane keaton	bn:01300748n
brando	bn:00775624n,bn:14125262n,bn:03084347n,bn:15197289n
barbra streisand	bn:00008549n,bn:02275309n
freeman	bn:02949161n,bn:00290460n,bn:00593667n,bn:00549419n,bn:03220636n,bn:01485679n,bn:00036399n,bn:02906053n,bn:01291903n
michael keaton	bn:01668874n
drew barrymore	bn:03665763n
connery	bn:00570942n
dustin hoffman	bn:00029207n
willis	bn:00076978n,bn:00487026n,bn:00566434n,bn:14617566n,bn:01352360n,bn:03759448n,bn:03438803n
johnny depp	bn:03584554n
judi dench	bn:03737317n
goldberg	bn:03414286n,bn:00476155n,bn:03185226n,bn:01456814n,bn:00040944n
minnelli	bn:03860798n
cameron diaz	bn:03160960n
allen	bn:00558910n,bn:00280373n,bn:16015866n,bn:00726103n,bn:00494586n,bn:01250676n,bn:16688974n,bn:00310193n,bn:03457779n,bn:01087742n,bn:03792751n,bn:00131162n,bn:00002834n,bn:03735589n,bn:00547514n,bn:00002832n,bn:14571828n,bn:03275748n,bn:01407368n,bn:03293671n,bn:14851178n,bn:03268319n,bn:02812635n,bn:03735570n,bn:00393801n,bn:01423054n,bn:01415662n,bn:00002833n
sean penn	bn:00263400n
sharon stone	bn:03176957n
huston	bn:00045301n
meryl streep	bn:00054480n
brad pitt	bn:03205502n,bn:00953464n
george clooney	bn:00822875n
anjelica huston	bn:01668561n
spielberg	bn:15603168n,bn:01586398n,bn:00073348n,bn:03813181n
mcgregor	bn:02605663n,bn:14994740n,bn:00728384n,bn:00254594n,bn:00331352n,bn:00213062n,bn:00163761n
nicholson	bn:00503745n,bn:00541383n,bn:01299847n,bn:14214200n,bn:14746063n,bn:03835936n
nicole kidman	bn:01433099n
john barrymore	bn:00008728n
jack nicholson	bn:01110933n
redgrave	
roberts	bn:00228647n,bn:13831214n,bn:00067732n,bn:00048911n,bn:00008745n,bn:00603897n,bn:03239535n,bn:01970432n,bn:00059245n,bn:01756856n
cruise	bn:10661776n,bn:02980325n,bn:01726347n,bn:02759881n,bn:00130885n,bn:00212363n,bn:00024122n,bn:16860753n
cosby	bn:16296953n,bn:03323492n
anthony hopkins	bn:00004561n
matt damon	bn:00908412n
susan sarandon	bn:03539927n
damon	bn:14956573n,bn:03739674n,bn:00557310n,bn:01397530n,bn:14956569n,bn:15223731n,bn:03436318n,bn:00025119n,bn:00025118n
newman	bn:00201551n,bn:00781467n,bn:00057540n,bn:03579531n,bn:00233083n,bn:02810211n,bn:00015967n
leno	bn:03873446n,bn:01015344n,bn:00891550n,bn:16085076n,bn:16882045n,bn:00206474n
kline	bn:14905982n,bn:00036273n,bn:02062580n,bn:00543615n
clint eastwood	bn:03181473n,bn:01641709n,bn:01443899n,bn:00785624n
jane fonda	bn:00035640n
bullock	bn:16117481n,bn:00013829n,bn:00013828n
marlon brando	bn:01262363n,bn:02591011n
letterman	bn:00050823n,bn:00166645n
julia roberts	bn:02813115n,bn:16481223n,bn:00894850n
morgan freeman	bn:01328723n
fonda	bn:16470319n,bn:00035641n,bn:01717991n,bn:00439274n,bn:00035640n,bn:00267968n
harrison ford	bn:03192537n,bn:01984452n
gwyneth paltrow	bn:03169511n
leonardo dicaprio	bn:03319353n
sheen	bn:00052373n,bn:16666591n
halle berry	bn:00575093n,bn:01538380n
philip seymour hoffman	bn:03371035n
cate blanchett	bn:00839124n
sarandon	bn:03483269n
woody allen	bn:01805765n,bn:00002833n
al pacino	bn:03157633n
paul newman	bn:00057540n,bn:03652936n,bn:03075341n,bn:01490082n,bn:01593803n
denzel washington	bn:00125041n
cher	bn:03686358n,bn:00608793n,bn:00177881n,bn:03611042n,bn:03686343n,bn:03458260n,bn:17280565n,bn:03197597n,bn:02563852n,bn:16641150n,bn:03713626n,bn:03686353n
bruce willis	bn:03491644n
careless	bn:01841766n,bn:01177639n,bn:16014016n,bn:02840832n,bn:13875164n
rude	bn:01444774n,bn:14009593n,bn:00545903n,bn:00027525n,bn:01766950n,bn:14515153n
corrupt	bn:03572329n,bn:00022886n,bn:03206216n,bn:00595236n,bn:01388334n
lazy	bn:00327036n,bn:00000800n,bn:01819640n,bn:03513044n,bn:00325909n,bn:00405170n,bn:01428794n
aggressive	bn:02283148n,bn:14438850n,bn:00002015n
organ	bn:00059459n,bn:00059458n,bn:01232963n,bn:00059460n,bn:17308951n,bn:00043028n,bn:00059461n,bn:00808669n,bn:00030157n,bn:01929504n
synthesizer	bn:00075744n,bn:03875696n,bn:00075745n
trombone	bn:00078389n
banjo	bn:00742158n,bn:01758021n,bn:01246224n,bn:03310720n,bn:01179733n,bn:00008361n,bn:00170437n,bn:00698063n,bn:16793463n,bn:02799666n
vocal	bn:14518732n,bn:00080173n,bn:00072794n
harp	bn:00043043n,bn:02116516n,bn:00043021n,bn:00862142n,bn:16347658n,bn:01197427n,bn:15143728n,bn:02846373n,bn:02434872n,bn:00043044n
drum	bn:00028894n,bn:01575346n,bn:00028891n,bn:00028892n,bn:00028893n,bn:02267024n,bn:15180230n,bn:03572102n,bn:00012717n,bn:01788463n,bn:01732411n,bn:03771257n,bn:00008692n,bn:01089356n,bn:02732553n,bn:02340013n,bn:03093086n,bn:14449791n,bn:03374047n
saxophone	bn:00069426n
piano	bn:03145733n,bn:01991157n,bn:00035986n,bn:00062202n,bn:15720205n,bn:00775674n,bn:02598746n
strings	bn:14417841n,bn:02434974n,bn:03244494n,bn:00074692n,bn:00074683n,bn:14208444n,bn:03044367n,bn:15431413n,bn:01663380n,bn:01737920n,bn:03425198n,bn:15255202n,bn:02660438n,bn:03102979n
percussion	bn:00061526n,bn:00061527n,bn:00061528n,bn:00061531n,bn:00061529n,bn:03530856n
clarinet	bn:03422459n,bn:00019455n
programming	bn:00064651n,bn:03406973n,bn:00021493n
keyboard	bn:00019614n,bn:03483744n,bn:02213792n,bn:00049005n,bn:00049006n,bn:00049008n,bn:01956047n,bn:00021482n,bn:16289531n
viola	bn:01521413n,bn:00567761n,bn:03182414n,bn:03417538n,bn:00556375n,bn:00054351n,bn:16825843n,bn:03044022n,bn:03585649n,bn:00496399n,bn:03502869n,bn:00080033n,bn:00080032n,bn:09437265n,bn:02124481n,bn:00040084n,bn:01465556n,bn:03278396n,bn:01463014n,bn:00208418n,bn:00065306n,bn:01731236n
violin	bn:02995243n,bn:02411341n,bn:00034250n,bn:02855522n
keyboards	bn:00049008n
composer	bn:00021397n,bn:00233776n,bn:00056443n,bn:17364202n
string quartet	bn:01463160n,bn:02992645n,bn:17004250n,bn:03884219n,bn:00074691n,bn:02738064n,bn:03325176n,bn:01661759n,bn:03857472n,bn:15905816n,bn:15188422n,bn:17004603n,bn:14289313n,bn:00317452n,bn:02071300n
backing vocals	bn:00149396n
sax	bn:03443152n,bn:00763536n,bn:00069426n,bn:00001486n,bn:15343068n
engineer	bn:00030854n,bn:00005106n,bn:00005812n,bn:00005105n,bn:01052466n,bn:02049417n,bn:00429381n,bn:01641195n,bn:13851129n,bn:15572318n,bn:03098987n,bn:01276218n
guitar	bn:00281486n,bn:02014173n,bn:01457834n,bn:02728299n,bn:01861264n,bn:00042150n,bn:02008610n
guitars	bn:00924665n,bn:00042150n,bn:01480548n,bn:01320338n
flute	bn:00035478n,bn:03339185n,bn:03772847n,bn:00035477n,bn:00024648n,bn:00017608n,bn:00550723n,bn:00985873n
bass	bn:00008916n,bn:00008915n,bn:00008918n,bn:00008917n,bn:00008912n,bn:00008911n,bn:00008914n,bn:00008913n,bn:14498794n,bn:00197086n,bn:03893607n,bn:01381809n,bn:00019683n,bn:15819896n,bn:14395851n,bn:13929880n
horn	bn:02359112n,bn:03343567n,bn:01464875n,bn:00044774n,bn:00403993n,bn:00044778n,bn:00044776n,bn:00022750n,bn:00491444n,bn:00044781n,bn:03482187n,bn:00044779n,bn:03523236n,bn:03390271n,bn:00036444n,bn:00007377n,bn:00044777n,bn:00044775n,bn:02602243n,bn:00403965n,bn:02423212n,bn:00044780n,bn:01131052n,bn:15795194n,bn:17183232n
trumpet	bn:00022750n,bn:03364350n,bn:00346100n,bn:00661683n,bn:15065808n,bn:00047062n
quintet	bn:00000119n,bn:02281166n,bn:00345158n,bn:03135280n,bn:00034916n,bn:00065732n,bn:01062830n,bn:00065731n,bn:00065730n
vocals	bn:00443423n,bn:00043294n,bn:00071734n,bn:00062019n,bn:00072794n,bn:00041834n
producer	bn:00064582n,bn:15938006n,bn:15369139n,bn:00053285n,bn:03326757n,bn:01689133n,bn:00064581n
acoustic guitar	bn:00000975n,bn:03750695n,bn:00698962n
drums	bn:00028891n,bn:02869866n,bn:03800441n
bassoon	bn:00008942n
quartet	bn:01486412n,bn:03537360n,bn:03392503n,bn:00036106n,bn:01860940n,bn:03468569n,bn:03597361n,bn:02818530n,bn:01412019n,bn:01899937n,bn:00464007n,bn:01480443n,bn:00065610n,bn:14376034n,bn:16884628n,bn:00065519n,bn:00000111n,bn:00065609n,bn:01194351n,bn:03612766n
rocker	bn:00068079n,bn:01065148n,bn:00068050n,bn:00068083n,bn:00282095n,bn:00023493n,bn:02813544n,bn:00068080n,bn:00068081n,bn:00068082n,bn:01007144n,bn:03202420n
rap group	bn:00066175n,bn:00044202n
soul	bn:01230702n,bn:00072886n,bn:00072887n,bn:03205535n,bn:00072888n,bn:02809130n,bn:03587303n,bn:14563364n,bn:01604595n,bn:16330754n,bn:00065006n,bn:00046516n,bn:02279444n,bn:16817542n,bn:03508421n,bn:00874736n
jazz	bn:00668902n,bn:02555712n,bn:03492078n,bn:14760521n,bn:00933138n,bn:03118724n,bn:00505084n,bn:15436229n,bn:03652619n,bn:03810348n,bn:00048065n,bn:01330548n,bn:00048066n,bn:02576786n,bn:03358229n,bn:02417296n,bn:00565963n,bn:02379536n,bn:03797031n,bn:01638661n,bn:00824886n,bn:03255846n,bn:00045851n,bn:03880984n
disco	bn:03888264n,bn:03622330n,bn:00441429n,bn:00027490n,bn:00027491n,bn:00884772n,bn:03869272n,bn:14508470n,bn:00618021n,bn:03531801n
pop music	bn:14266342n,bn:03157858n,bn:00063557n,bn:00185718n
hop	bn:03300684n,bn:00044727n,bn:00542803n,bn:03353186n,bn:00692191n,bn:00044729n,bn:00044728n,bn:02149260n,bn:03553030n,bn:00612522n,bn:01594427n
the pop	
rock 'n' roll	bn:01205812n,bn:01444107n,bn:01311005n,bn:00255640n,bn:01237421n,bn:01940862n,bn:03384732n,bn:01686819n,bn:02600266n,bn:00825667n,bn:00068049n
blues	bn:02877249n,bn:13936330n,bn:00517351n,bn:01998825n,bn:03418130n,bn:00011596n,bn:01744651n,bn:03598142n,bn:15153109n,bn:00033083n,bn:00011507n,bn:03771501n
hip	bn:00044197n,bn:00044198n,bn:00250411n,bn:00006138n,bn:00044200n,bn:01577663n,bn:00044199n,bn:02223607n
rock	bn:15452849n,bn:02179793n,bn:16496453n,bn:00068047n,bn:00068048n,bn:00068049n,bn:00602244n,bn:00063132n,bn:00919815n,bn:00048339n,bn:00016018n,bn:00068045n,bn:00068046n,bn:03191959n,bn:14643171n,bn:03239377n,bn:00132926n,bn:00448308n,bn:13886970n,bn:15696913n
pop	bn:00072620n,bn:03159734n,bn:16981223n,bn:00015881n,bn:00935198n,bn:17033678n,bn:03148087n,bn:02843261n,bn:03791418n,bn:00024989n,bn:00065722n,bn:00063555n,bn:00227385n,bn:00063557n,bn:14083195n,bn:03832050n,bn:00433409n,bn:01322283n,bn:03766496n,bn:02100952n,bn:03743418n,bn:01587787n,bn:00045726n,bn:01875683n,bn:00063556n,bn:15972592n,bn:01307601n,bn:14309814n,bn:15882410n,bn:13806035n
rhythm and blues	bn:01521225n,bn:02077958n,bn:00072888n,bn:00065774n,bn:14255338n,bn:01302391n
electro	bn:00684128n,bn:03202758n,bn:01996563n,bn:00704223n,bn:03168010n,bn:15635453n,bn:01060870n
music	bn:16119050n,bn:01208442n,bn:00717773n,bn:00031853n,bn:01444992n,bn:02508540n,bn:03447072n,bn:16179433n,bn:00056445n,bn:15804510n,bn:00056443n,bn:16687568n,bn:02052302n,bn:03798269n,bn:15663480n,bn:03603573n,bn:00874570n,bn:11332597n,bn:02002143n,bn:16672191n,bn:17128006n,bn:00614353n,bn:02159386n,bn:00292695n,bn:00923678n,bn:03006956n,bn:02992121n,bn:03233402n,bn:00056444n,bn:02529450n,bn:00259214n,bn:00054134n
punk rock	bn:00065237n,bn:02290902n
indie rock	bn:00642480n
hip hop	bn:02416714n,bn:01661645n,bn:00207096n,bn:01298745n,bn:17280437n,bn:00044202n,bn:00044201n
electronic music	bn:03847626n
the jazz	bn:03695912n
the rap	
heavy metal	bn:00774679n,bn:03058526n,bn:03516799n,bn:01765147n,bn:00163006n,bn:00043479n,bn:02424957n,bn:00674516n,bn:01449580n,bn:00043478n,bn:00752060n
dance	bn:01391639n,bn:00025149n,bn:03749554n,bn:00025142n,bn:00025144n,bn:03158833n,bn:16390176n,bn:01828725n,bn:14060184n,bn:00645427n,bn:00259225n,bn:03887918n,bn:02755142n,bn:13870503n,bn:15276382n,bn:00812151n,bn:03141551n,bn:15332527n,bn:10810929n,bn:00931210n,bn:14679957n,bn:00830331n,bn:03639973n,bn:01687397n,bn:03139880n,bn:00025143n,bn:01790101n,bn:00025145n,bn:02754387n,bn:01214776n,bn:00982766n
rap	bn:00066191n,bn:00060963n,bn:00066173n,bn:00009827n,bn:00066174n,bn:17280437n,bn:00011096n,bn:02730417n,bn:00342539n,bn:00044202n
motown	bn:00026672n,bn:01165301n,bn:15882699n
country music	bn:14538448n,bn:02179201n,bn:00014397n,bn:01948795n
trance	bn:01837275n,bn:03845244n,bn:03486606n,bn:03197920n,bn:00077943n,bn:17323299n,bn:15309814n,bn:01019143n,bn:00030686n,bn:02654631n
rock music	bn:01889657n,bn:03270237n,bn:00068049n
rhyme	bn:00067679n,bn:00075644n,bn:00067680n
rock and roll	bn:15506476n,bn:01311005n,bn:01436248n,bn:01237421n,bn:00545694n,bn:01786393n,bn:14370726n,bn:01108990n,bn:01535285n,bn:00068049n
the blues	bn:03865697n,bn:03418130n,bn:00896780n,bn:00007606n,bn:03786495n,bn:00438779n,bn:03552475n,bn:00011596n,bn:01097980n,bn:03804347n,bn:15073696n,bn:16159586n,bn:03588202n,bn:03618341n
salsa	bn:03734071n,bn:00652674n,bn:00524519n,bn:01631977n,bn:01003776n,bn:00901632n,bn:10594972n,bn:01211259n,bn:01656874n,bn:00068989n
gangsta rap	bn:02726641n,bn:03633687n,bn:00037255n
alternative rock	bn:00912356n
drum and bass	bn:03688691n
dance music	bn:14394294n,bn:14064152n,bn:00008208n,bn:02286885n,bn:00025149n
punk	bn:00065236n,bn:00227206n,bn:00065235n,bn:00065237n,bn:00041096n,bn:03292671n,bn:00177257n,bn:00049131n
classical music	bn:00019566n
folk	bn:00031725n,bn:03235322n,bn:00021149n,bn:00032894n,bn:00035607n,bn:01720374n
pop group	bn:03648431n,bn:00063562n,bn:10201598n
gospel	bn:03883486n,bn:00031976n,bn:03488860n,bn:03611121n,bn:02437265n,bn:00041146n,bn:03053999n,bn:00041147n,bn:02495675n,bn:00041148n,bn:00019002n
funk	bn:00399340n,bn:00011514n,bn:16377807n,bn:14981452n,bn:00016471n,bn:02062088n,bn:02883906n,bn:00293080n,bn:00036872n
reggae	bn:00066875n
ellington	bn:03731948n,bn:00600547n,bn:00029076n,bn:02790343n,bn:01381550n,bn:00207764n,bn:00381708n
george gershwin	bn:00040214n
gershwin	bn:00040319n,bn:00040214n
cole porter	bn:00020570n
parts of northern	
parts of southern	
parts of central	
distress	bn:03249427n,bn:00027785n,bn:03632017n,bn:00027786n,bn:00027787n,bn:00027788n
happy	bn:00131038n,bn:02237713n,bn:00042905n,bn:02219049n,bn:02544724n,bn:00355757n,bn:15640388n,bn:16448760n,bn:03458392n,bn:02025176n,bn:01298821n,bn:03309435n,bn:03878304n,bn:03351984n,bn:01149201n,bn:02025249n,bn:02536436n,bn:01409626n,bn:00152009n,bn:00710204n,bn:01427571n,bn:00332884n,bn:03632154n,bn:03152073n,bn:01857095n,bn:15957224n,bn:15922403n,bn:13801655n,bn:17150720n,bn:00729395n,bn:02484773n,bn:14535271n,bn:01969522n,bn:03430110n,bn:02056236n
outrage	bn:16127591n,bn:17153738n,bn:15262148n,bn:01550984n,bn:00046491n,bn:00059800n,bn:00059799n,bn:00059798n,bn:03001725n,bn:00633571n,bn:03271827n,bn:02052620n,bn:03051361n
thrill	bn:00008335n,bn:00018388n,bn:00077063n,bn:03422021n,bn:02049706n
anger	bn:00125647n,bn:00686343n,bn:00004086n,bn:00004085n,bn:15857472n,bn:00558246n,bn:00004087n,bn:02877989n,bn:00260907n
made possible	bn:16263009n
influence	bn:00046695n,bn:00046694n,bn:00046693n,bn:03008338n,bn:03878939n,bn:03476034n,bn:15993589n,bn:03294734n,bn:15244779n,bn:00046697n,bn:00046696n,bn:03331847n
buoy	bn:00013923n,bn:00051062n,bn:00035353n
alarm	bn:15677327n,bn:00299917n,bn:15823899n,bn:17034186n,bn:03118788n,bn:16445301n,bn:00002410n,bn:00002411n,bn:00002412n,bn:00002413n
trouble	bn:03464019n,bn:01818608n,bn:02782534n,bn:00012327n,bn:14356379n,bn:16472275n,bn:03273114n,bn:02370885n,bn:01528843n,bn:16059022n,bn:00064527n,bn:01862950n,bn:17256699n,bn:03649171n,bn:03805030n,bn:01479868n,bn:03217920n,bn:00078425n,bn:03463970n,bn:16537035n,bn:02940168n,bn:17295777n,bn:02663185n,bn:00298865n,bn:16515608n,bn:01028953n,bn:02032143n,bn:00342804n,bn:02085455n,bn:00524222n,bn:16797019n,bn:00598728n,bn:14410233n,bn:01688497n,bn:01916308n,bn:02817339n,bn:00636391n,bn:00078424n,bn:02662874n,bn:02972379n,bn:00078426n,bn:03875891n,bn:01100500n,bn:02488672n,bn:00027041n,bn:03041334n,bn:01625815n,bn:16865606n
taken aback	
complement	bn:00021353n,bn:00021352n,bn:00021355n,bn:00021354n,bn:03237875n,bn:00012145n,bn:00310167n,bn:00969156n,bn:00270643n,bn:03436585n,bn:03341864n,bn:00000718n,bn:00021291n,bn:01201565n,bn:00021351n,bn:03415101n
delight	bn:00026047n,bn:01660698n,bn:00190505n,bn:00026022n,bn:03853051n
enhance	
incense	bn:00046268n,bn:00046267n
surprise	bn:03795721n,bn:16264621n,bn:01069095n,bn:00240380n,bn:01109485n,bn:00075411n,bn:00075412n,bn:13929138n,bn:00075413n,bn:03553467n,bn:02036325n,bn:00185265n,bn:00134181n,bn:00712582n,bn:03494905n,bn:00391359n,bn:03504726n,bn:03279213n,bn:02874745n
intrigue	bn:00014410n,bn:00047284n,bn:00047283n,bn:02475329n,bn:02710470n,bn:14455428n
shock	bn:14883417n,bn:00267688n,bn:00247587n,bn:00070300n,bn:03624803n,bn:00600166n,bn:03196528n,bn:01063288n,bn:00025463n,bn:03881048n,bn:01700002n,bn:00011444n,bn:03281520n,bn:00071163n,bn:03110487n,bn:03824951n,bn:00048025n,bn:00046066n,bn:03274714n,bn:02663176n,bn:00024564n,bn:16624124n,bn:02527087n,bn:00071162n,bn:17317387n,bn:00071164n,bn:03160225n,bn:00030167n
enrage	bn:16969045n
dismay	bn:00026577n,bn:00002410n,bn:14131261n,bn:00027518n
temper	bn:00076451n,bn:00047567n,bn:01678759n,bn:01464805n,bn:00045201n,bn:00010390n
inspire	bn:02442878n,bn:01765212n,bn:01985182n,bn:02151338n,bn:01393138n,bn:02969305n
disgust	bn:00027571n,bn:00027570n,bn:00027620n,bn:00000298n,bn:00079190n,bn:00051704n,bn:00004710n
expressed dismay	
also influenced	
andy flower	bn:03601317n
vusi sibanda	bn:03790883n
ebrahim	bn:02588979n
stuart carlisle	bn:03828208n
carlisle	bn:00250893n,bn:00725766n,bn:00519070n,bn:16126578n,bn:00825546n,bn:00189745n,bn:03090207n,bn:00589417n,bn:00547130n,bn:03441637n,bn:03054030n,bn:03476101n,bn:00283156n,bn:00720058n,bn:16287529n,bn:00549768n,bn:03830486n
brendan taylor	bn:02230619n
streak	bn:00008471n,bn:00074586n,bn:00074585n,bn:14462880n,bn:00939902n,bn:00068549n,bn:01994427n
wishart	
mark vermeulen	bn:03690176n
andy blignaut	bn:03788528n
flower	bn:02644722n,bn:01577737n,bn:00276686n,bn:01038710n,bn:03416497n,bn:03539733n,bn:15673781n,bn:15463293n,bn:00035378n,bn:00011425n,bn:03285434n,bn:03057142n,bn:00011422n,bn:00420500n,bn:01737128n,bn:01257537n,bn:03203823n,bn:16694879n,bn:00534598n,bn:15914131n,bn:00134887n,bn:00348934n,bn:17190305n
elton chigumbura	bn:02242906n
grant flower	bn:03788546n
prosper utseya	bn:02230406n
hamilton masakadza	bn:02235989n
tatenda taibu	bn:03788535n
heath streak	bn:03788533n
stuart matsikenyeri	bn:02235697n
alistair campbell	bn:02421306n,bn:02453930n,bn:01441698n
gary brent	bn:02242947n
strang	bn:16342897n,bn:00494251n,bn:00394666n
hondo	bn:03196348n,bn:14922919n,bn:03260714n,bn:00044612n,bn:00821624n,bn:00566109n,bn:03676737n
dion ebrahim	bn:02240244n
romans	bn:00780588n,bn:02131174n,bn:02438057n,bn:01772776n,bn:16875293n,bn:00031246n,bn:02897220n,bn:01692720n
hosea	bn:00044890n,bn:00012086n,bn:02357642n,bn:13968407n,bn:00010217n,bn:16844112n
prophet	bn:16242897n,bn:02528689n,bn:02550503n,bn:02790772n,bn:00838175n,bn:02677282n,bn:02645321n,bn:00064759n,bn:00059235n,bn:02068548n,bn:02633354n,bn:00019412n,bn:00177982n,bn:03869140n
roman	bn:00796200n,bn:03302146n,bn:00031246n,bn:03152069n,bn:01183729n,bn:02293405n,bn:00059496n,bn:02914617n,bn:13835041n,bn:00068174n,bn:00835393n,bn:15643360n,bn:00068173n,bn:00068195n,bn:00050164n,bn:02374406n,bn:00068172n,bn:00050163n,bn:14217368n,bn:00068186n,bn:02607688n
revelation	bn:01722627n,bn:01628105n,bn:03730516n,bn:01596578n,bn:03599222n,bn:02077149n,bn:00404603n,bn:03719350n,bn:02284163n,bn:00918920n,bn:03896195n,bn:02492921n,bn:02794962n,bn:00027896n,bn:00004928n,bn:00143311n,bn:00506600n,bn:15964399n,bn:00970718n,bn:01719014n,bn:00976691n,bn:00314273n,bn:01018344n,bn:15889704n,bn:00503951n,bn:00027489n,bn:17352163n,bn:00953046n,bn:01560032n,bn:01653634n,bn:00067514n
1 john	bn:00034771n
numbers	bn:02229722n,bn:16584517n,bn:03184499n,bn:16225648n,bn:01659748n,bn:00012104n,bn:03360005n,bn:01044720n,bn:01008284n,bn:14694588n,bn:02134971n,bn:14133657n,bn:03186187n,bn:00439302n,bn:02426429n,bn:02489117n,bn:01060144n,bn:00058299n,bn:03826036n
ezra	bn:00012082n,bn:00170487n,bn:00440664n,bn:00032572n,bn:02084224n
acts	bn:00001182n,bn:14716438n
1 kings	bn:00000064n,bn:15519493n
exodus	bn:02229438n,bn:01695905n,bn:02895137n,bn:01276238n,bn:03854506n,bn:15726308n,bn:15366906n,bn:00168837n,bn:01566827n,bn:01823533n,bn:00292022n,bn:00126523n,bn:14106936n,bn:00533594n,bn:03186197n,bn:10144491n,bn:15791282n,bn:02765565n,bn:00988261n,bn:01223159n,bn:03601196n,bn:02285287n,bn:00461918n,bn:15979669n,bn:02369899n,bn:16504891n,bn:01010624n,bn:03805362n,bn:01020332n,bn:15598504n,bn:03743836n,bn:03604795n,bn:14088796n,bn:02357519n,bn:03898566n,bn:15627616n,bn:03643429n,bn:01231489n,bn:15188228n,bn:14538967n,bn:00032253n,bn:00012080n
genesis	bn:01806088n,bn:02405382n,bn:01352068n,bn:01808352n,bn:17208889n,bn:16721255n,bn:03529549n,bn:00356251n,bn:00633264n,bn:01918120n,bn:03317063n,bn:00407005n,bn:03074614n,bn:14435032n,bn:02410007n,bn:01444774n,bn:14844668n,bn:14237151n,bn:02452059n,bn:14852715n,bn:01841661n,bn:01127319n,bn:03878961n,bn:03704165n,bn:01129647n,bn:01009898n,bn:02347416n,bn:13825029n,bn:02473737n,bn:02140104n,bn:01554898n,bn:02623417n,bn:03058147n,bn:00454356n,bn:02932029n,bn:15341480n,bn:00176818n,bn:00477337n,bn:02762875n,bn:03419454n,bn:14667790n,bn:14320005n,bn:00012084n,bn:02345100n,bn:00037679n,bn:03420941n,bn:03123507n,bn:14317258n,bn:02835618n,bn:01999871n,bn:03876588n,bn:16951178n,bn:13886187n
luke	bn:01884329n,bn:02171438n,bn:02827357n,bn:02106384n,bn:00295659n,bn:00041150n,bn:02254220n,bn:00052281n,bn:15117120n,bn:02204954n,bn:14906592n,bn:00598286n,bn:01076424n,bn:00634813n,bn:00179661n,bn:01830561n,bn:03476407n
ezekiel	bn:01121798n,bn:00032568n,bn:02021364n,bn:00012081n
corinthians	bn:00034772n,bn:01127791n
1 cor	bn:00034772n
isaiah	bn:00012088n,bn:00047584n,bn:02031114n
2 timothy	bn:00045905n
proverb	bn:03558289n,bn:00032393n,bn:00001236n,bn:00012105n
1 peter	bn:00034775n
psalm	bn:01894696n,bn:13836345n,bn:02486404n,bn:00064965n,bn:01190720n,bn:00064966n,bn:00012106n
matthew	bn:01074841n,bn:01287556n,bn:03682705n,bn:00050874n,bn:17232689n,bn:03039682n,bn:00704159n,bn:00561157n,bn:00930361n,bn:00041152n,bn:00222100n,bn:01004021n,bn:01793582n,bn:02889159n
